DebrisID,Description,Finishes,Structure,Foundation,Comment
IND1NBSG1,IND1 without basement with slab on grade foundation at 1-4' water,0.5,0,0,
IND1NBSG4,IND1 without basement with slab on grade foundation at 4-8' water,0.7,0,0,
IND1NBSG8,IND1 without basement with slab on grade foundation at 8-12'+ water,1.5,0,0,
IND1NBSG12,IND1 without basement with slab on grade foundation at 12'+ water,1.7,50.4,37.5,
IND2NBFT0,IND2 without basement with footing foundation at 0-1' water,0.5,0,0,
IND2NBFT1,IND2 without basement with footing foundation at 1-4' water,0.5,0,0,
IND2NBFT4,IND2 without basement with footing foundation at 4-8' water,0.7,0,0,
IND2NBFT8,IND2 without basement with footing foundation at 8-12'+ water,1.5,0,0,
IND2NBFT12,IND2 without basement with footing foundation at 12'+ water,1.7,40.2,5.2,
IND2NBSG0,IND2 without basement with slab on grade foundation at 0-1' water,0.5,0,0,
IND2NBSG1,IND2 without basement with slab on grade foundation at 1-4' water,0.5,0,0,
IND2NBSG4,IND2 without basement with slab on grade foundation at 4-8' water,0.7,0,0,
IND2NBSG8,IND2 without basement with slab on grade foundation at 8-12'+ water,1.5,0,0,
IND2NBSG12,IND2 without basement with slab on grade foundation at 12'+ water,1.7,40.2,37.5,
IND3NBFT0,IND3 without basement with footing foundation at 0-1' water,0.5,0,0,
IND3NBFT1,IND3 without basement with footing foundation at 1-4' water,0.5,0,0,
IND3NBFT4,IND3 without basement with footing foundation at 4-8' water,0.7,0,0,
IND3NBFT8,IND3 without basement with footing foundation at 8-12'+ water,1.5,0,0,
IND3NBFT12,IND3 without basement with footing foundation at 12'+ water,1.7,49.8,5.2,
IND3NBSG0,IND3 without basement with slab on grade foundation at 0-1' water,0.5,0,0,
IND3NBSG1,IND3 without basement with slab on grade foundation at 1-4' water,0.5,0,0,
IND3NBSG4,IND3 without basement with slab on grade foundation at 4-8' water,0.7,0,0,
IND3NBSG8,IND3 without basement with slab on grade foundation at 8-12'+ water,1.5,0,0,
IND3NBSG12,IND3 without basement with slab on grade foundation at 12'+ water,1.7,49.8,37.5,
IND4NBFT0,IND4 without basement with footing foundation at 0-1' water,0.5,0,0,
IND4NBFT1,IND4 without basement with footing foundation at 1-4' water,0.5,0,0,
